namesurname,surname,firstname,name,id,alternativename,province,politicalparty,Column
"Τριανταφυλλου, ΜαριαΜαρία Τριανταφύλλου",Τριανταφυλλου, Μαρια,Μαρία Τριανταφύλλου,277,,ΑΙΤΩΛΙΑΣ ΚΑΙ AΚΑΡΝΑΝΙΑΣ,syriza,
"Τσαβδαρίδης, ΛαζαροςΛάζαρος Τσαβδαρίδης",Τσαβδαρίδης, Λαζαρος,Λάζαρος Τσαβδαρίδης,278,,ΗΜΑΘΙΑΣ,nd,
"Τσακαλωτος, ΕυκλειδηςΕυκλείδης Τσακαλώτος",Τσακαλωτος, Ευκλειδης,Ευκλείδης Τσακαλώτος,279,,Β' ΑΘΗΝΩΝ,syriza,
"Τσιαρας, ΚωνσταντινοςΚωνσταντίνος Τσιάρας",Τσιαρας, Κωνσταντινος,Κωνσταντίνος Τσιάρας,280,,ΚΑΡΔΙΤΣΗΣ,nd,
"Τσιπρας, ΑλεξιοςΑλέξιος Τσίπρας",Τσιπρας, Αλεξιος,Αλέξιος Τσίπρας,281,,Α' ΑΘΗΝΩΝ,syriza,
"Τσουκαλας, ΔημητριοςΔημήτρης Τσουκαλάς",Τσουκαλας, Δημητριος,Δημήτρης Τσουκαλάς,282,,ΕΠΙΚΡΑΤΕΙΑΣ,syriza,
"Τσουκαλης, ΝικολαοςΝικόλαος Τσούκαλης",Τσουκαλης, Νικολαος,Νικόλαος Τσούκαλης,283,,ΑΧΑΪΑΣ,dimar,
"Τσουμανης, ΔημητριοςΔημήτριος Τσουμάνης",Τσουμανης, Δημητριος,Δημήτριος Τσουμάνης,284,,ΠΡΕΒΕΖΗΣ,nd,
"Υψηλαντης, Βασιλειος-ΝικολαοςΒασίλειος-Νικόλαος Υψηλάντης",Υψηλαντης, Βασιλειος-Νικολαος,Βασίλειος-Νικόλαος Υψηλάντης,285,,ΔΩΔΕΚΑΝΗΣΟΥ,nd,
"Φουντα, ΝικηΝίκη Φούντα",Φουντα, Νικη,Νίκη Φούντα,286,,ΑΙΤΩΛΙΑΣ ΚΑΙ AΚΑΡΝΑΝΙΑΣ,dimar,
"Φωτιου, ΘεανωΘεανώ Φωτίου",Φωτιου, Θεανω,Θεανώ Φωτίου,287,,ΕΠΙΚΡΑΤΕΙΑΣ,syriza,
"Χαικαλης, ΠαυλοςΠαύλος Χαϊκάλης",Χαικαλης, Παυλος,Παύλος Χαϊκάλης,288,,ΑΤΤΙΚΗΣ,anel,
"Χαλβατζης, ΣπυριδωνΣπυρίδων Χαλβατζής",Χαλβατζης, Σπυριδων,Σπυρίδων Χαλβατζής,289,,Β' ΑΘΗΝΩΝ,kke,
"Χαρακοπουλος, ΜαξιμοςΜάξιμος Χαρακόπουλος",Χαρακοπουλος, Μαξιμος,Μάξιμος Χαρακόπουλος,290,,ΛΑΡΙΣΗΣ,nd,
"Χαραλαμπιδου, ΔεσποιναΔέσποινα Χαραλαμπίδου *(bg)*",Χαραλαμπιδου, Δεσποινα,Δέσποινα Χαραλαμπίδου ,291,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,syriza,
"Χατζη Οσμαν, ΑχμετΑχμέτ Χατζή Οσμάν *(en)*",Χατζη Οσμαν, Αχμετ,Αχμέτ Χατζή Οσμάν ,292,,ΡΟΔΟΠΗΣ,pasok,
"Χατζηδακης, ΚωνσταντινοςΚωνσταντίνος Χατζηδάκης (Κωστής)",Χατζηδακης, Κωνσταντινος,Κωνσταντίνος Χατζηδάκης ,293,Κωστής Χατζηδακης,Β' ΑΘΗΝΩΝ,nd,
"Χατζηλαμπρου, ΒασιλειοςΒασίλειος Χατζηλάμπρου",Χατζηλαμπρου, Βασιλειος,Βασίλειος Χατζηλάμπρου,294,,ΑΧΑΪΑΣ,syriza,
"Χριστογιαννης, ΔημητριοςΔημήτριος Χριστογιάννης",Χριστογιαννης, Δημητριος,Δημήτριος Χριστογιάννης,295,,ΠΙΕΡΙΑΣ,nd,
"Χριστοφιλοπουλου, ΠαρασκευηΠαρασκευή Χριστοφιλοπούλου (Εύη)",Χριστοφιλοπουλου, Παρασκευη,Παρασκευή Χριστοφιλοπούλου ,296,Εύη Χριστοφιλοπουλου,ΑΤΤΙΚΗΣ,pasok,
"Χρυσοβελωνη, ΜαριναΜαρίνα Χρυσοβελώνη",Χρυσοβελωνη, Μαρινα,Μαρίνα Χρυσοβελώνη,297,,ΜΑΓΝΗΣΙΑΣ,anel,
"Χρυσοχοιδης, ΜιχαηλΜιχαήλ Χρυσοχοΐδης",Χρυσοχοιδης, Μιχαηλ,Μιχαήλ Χρυσοχοΐδης,298,,Β' ΑΘΗΝΩΝ,pasok,
"Ψαριανος, ΓρηγοριοςΓρηγόριος Ψαριανός",Ψαριανος, Γρηγοριος,Γρηγόριος Ψαριανός,299,,Β' ΑΘΗΝΩΝ,dimar,
"Ψυρρας, ΘωμαςΘωμάς Ψύρρας",Ψυρρας, Θωμας,Θωμάς Ψύρρας,300,,ΛΑΡΙΣΗΣ,dimar,
,,,,301,,,,
