namesurname,surname,firstname,name,id,alternativename,province,politicalparty,Column
"Γρεγος, ΑντωνιοςΑντώνιος Γρέγος *(fr)*",Γρεγος, Αντωνιος,Αντώνιος Γρέγος ,62,,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,xa,
"Γρηγορακος, ΛεωνιδαςΛεωνίδας Γρηγοράκος",Γρηγορακος, Λεωνιδας,Λεωνίδας Γρηγοράκος,63,,ΛΑΚΩΝΙΑΣ,pasok,
"Δαβακης, ΑθανασιοςΑθανάσιος Δαβάκης",Δαβακης, Αθανασιος,Αθανάσιος Δαβάκης,64,,ΛΑΚΩΝΙΑΣ,nd,
"Δενδιας, Νικολαος-ΓεωργιοςΝικόλαος-Γεώργιος Δένδιας",Δενδιας, Νικολαος-Γεωργιος,Νικόλαος-Γεώργιος Δένδιας,65,,ΚΕΡΚΥΡΑΣ,nd,
"Δερμεντζοπουλος, ΑλεξανδροςΑλέξανδρος Δερμεντζόπουλος",Δερμεντζοπουλος, Αλεξανδρος,Αλέξανδρος Δερμεντζόπουλος,66,,ΕΒΡΟΥ,nd,
"Δερμιτζακης, ΚωνσταντινοςΚωστής Δερμιτζάκης",Δερμιτζακης, Κωνσταντινος,Κωστής Δερμιτζάκης,67,,ΛΑΣΙΘΙΟΥ,syriza,
"Δημαρας, ΙωαννηςΙωάννης Δημαράς",Δημαρας, Ιωαννης,Ιωάννης Δημαράς,68,,Β' ΑΘΗΝΩΝ,anel,
"Δημας, ΠυρροςΠύρρος Δήμας",Δημας, Πυρρος,Πύρρος Δήμας,69,,ΕΠΙΚΡΑΤΕΙΑΣ,pasok,
"Δημας, ΧριστοςΧρίστος Δήμας",Δημας, Χριστος,Χρίστος Δήμας,70,,ΚΟΡΙΝΘΙΑΣ,nd,
"Διακακη, ΜαριαΜαρία Διακάκη",Διακακη, Μαρια,Μαρία Διακάκη,71,,ΗΡΑΚΛΕΙΟΥ,syriza,
"Διαμαντοπουλος, ΕυαγγελοςΕυάγγελος Διαμαντόπουλος",Διαμαντοπουλος, Ευαγγελος,Ευάγγελος Διαμαντόπουλος,72,,ΚΑΣΤΟΡΙΑΣ,syriza,
"Διωτη, ΗρωΗρώ Διώτη",Διωτη, Ηρω,Ηρώ Διώτη,73,,ΛΑΡΙΣΗΣ,syriza,
"Δραγασακης, ΓιαννηςΓιάννης Δραγασάκης",Δραγασακης, Γιαννης,Γιάννης Δραγασάκης,74,,Β' ΑΘΗΝΩΝ,syriza,
"Δριβελεγκας, ΓιαννηςΓιάννης Δριβελέγκας",Δριβελεγκας, Γιαννης,Γιάννης Δριβελέγκας,75,,ΧΑΛΚΙΔΙΚΗΣ,pasok,
"Δριτσας, ΘεοδωροςΘεόδωρος Δρίτσας *(en)*",Δριτσας, Θεοδωρος,Θεόδωρος Δρίτσας ,76,,Α' ΠΕΙΡΑΙΩΣ,syriza,
"Δριτσελη, ΠαναγιωταΠαναγιώτα Δριτσέλη",Δριτσελη, Παναγιωτα,Παναγιώτα Δριτσέλη,77,,ΤΡΙΚΑΛΩΝ,syriza,
"Ζαρουλια, ΕλενηΕλένη Ζαρούλια *(fr)*",Ζαρουλια, Ελενη,Ελένη Ζαρούλια ,78,,Β' ΑΘΗΝΩΝ,xa,
"Ζαχαριας, ΚωνσταντινοςΚωνσταντίνος Ζαχαριάς",Ζαχαριας, Κωνσταντινος,Κωνσταντίνος Ζαχαριάς,79,,ΑΡΚΑΔΙΑΣ,syriza,
